Req ID,Type,Requirement,Spec reference,Implementation (file:function),Verification (TC IDs),Evidence path(s),"Status",Notes
RQ-49,Functional,"Mode 3: After sending message, sending MCU becomes receiving MCU",Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-055,evidence/SYS-12_Mode3Chatting.mov,Done,
RQ-50,Functional,"Mode 3: After sending message, receiving MCU becomes sending MCU",Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-056,evidence/SYS-12_Mode3Chatting.mov,Done,
RQ-51,Design,Mode 3: Both PC terminals display full message history,Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-057,evidence/SYS-12_Mode3Chatting.mov,Done,
CN-13,Constraint,Mode 3: Use Port F interrupt on SW1,Mode 3 Overview,Switch.c:Switches_Init(); Mode3.c:PortF_Interrupt(),TC-INT-058,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
RQ-52,Functional,Mode 3: Press SW1 on either MCU to end mode,Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-059,"evidence/SYS-13_Mode3MCU1Exit.mov, evidence/SYS-14_Mode3MCU2Exit.mov",Done,
RQ-53,Design,Mode 3: Display Main Menu on PC1 after Mode 3 termination,Mode 3 Overview,Main.c:main(),TC-INT-060,"evidence/SYS-13_Mode3MCU1Exit.mov, evidence/SYS-14_Mode3MCU2Exit.mov",Done,
RQ-54,Design,Mode 3: Display Waiting Screen on PC2 after Mode 3 termination,Mode 3 Overview,Main.c:main(),TC-INT-061,"evidence/SYS-13_Mode3MCU1Exit.mov, evidence/SYS-14_Mode3MCU2Exit.mov",Done,
RQ-55,Functional,Onboard Switches set corresponding pin to high when pressed,Module Testing,Switches.c:Board_BTNS_Init(),TC-MOD-001,evidence/OnBoardButtons_test.mov,Done,
RQ-56,Functional,Onboard Switches trigger corresponding interrupt,Module Testing,Switches.c:Board_BTNS_Init(); Mode2.c:PortF_Interrupt(); Mode3.c:PortF_Interrupt();,TC-MOD-002,evidence/OnBoardButtons_test.mov,Done,
RQ-57,Functional,All onboard LED combinations can be shown,Module Testing,LED.c:LED_Init(); Mode2.c:Mode2_Function(),TC-MOD-003,evidence/LED_test.mov,Done,
RQ-58,Functional,UART0 RX interrupt successfully receives transmission,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(); UART0.c:UART0_Init();",TC-MOD-004,"evidence/TransmitUART5_ReceiveUART7.mov, evidence/TransmitUART7_ReceiveUART5.mov",Done,
RQ-59,Functional,UART5 RX interrupt successfully receives transmission,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-005,evidence/TransmitUART7_ReceiveUART5.mov,Done,
RQ-60,Functional,UART7 RX interrupt successfully receives transmission,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-006,evidence/TransmitUART5_ReceiveUART7.mov,Done,
RQ-61,Functional,UART0 RX interrupt successfully transmits data,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-007,"evidence/TransmitUART5_ReceiveUART7.mov, evidence/TransmitUART7_ReceiveUART5.mov",Done,
RQ-62,Functional,UART5 RX interrupt successfully transmits data,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-008,evidence/TransmitUART5_ReceiveUART7.mov,Done,
RQ-63,Functional,UART7 RX interrupt successfully transmits data,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-009,evidence/TransmitUART7_ReceiveUART5.mov,Done,
RQ-64,Functional,Ring Buffer Head stores data successfully,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-010,"evidence/TransmitUART5_ReceiveUART7.mov, evidence/TransmitUART7_ReceiveUART5.mov",Done,
RQ-65,Functional,Ring Buffer Tail reads data successfully,Module Testing,"RingBuffer.c:RingBuffer(), UART0Interrupt_Handler(), UART5Interrupt_Handler(), UART7Interrupt_Handler()",TC-MOD-011,"evidence/TransmitUART5_ReceiveUART7.mov, evidence/TransmitUART7_ReceiveUART5.mov",Done,
RQ-66,Functional,PWM displays LED at different brightnesses,Module Testing,"PWM.c:PWM1_Init(), ChangeLEDBrightness()",TC-MOD-012,evidence/PWM_Test.mov,Done,
RQ-67,Functional,Main Menu FSM displays all states,Module Testing,mode_manager.c:mode_manager(),TC-MOD-013,evidence/MainMenu_FSM.mov,Done,
RQ-68,Functional,Mode 1 Menu FSM displays all states,Module Testing,mode_manager.c:mode1_menu(),TC-MOD-014,"evidence/Mode1_FSM.mov, evience/Mode1_MenuSelect.mov",Done,
RQ-69,Functional,Mode 2 Waiting/Receiving FSM displays all states,Module Testing,mode_manager.c:mode2_menu(),TC-MOD-015,evidence/Mode2_FSM.mov,Done,
RQ-70,Functional,Mode 3 Waiting/Receiving FSM displays all states,Module Testing,mode_manager.c:mode3_menu(),TC-MOD-016,evidence/Mode3_FSM.mov,Done,
RQ-71,Functional,Mode 1 Functionality Complete,Mode 1 Overview,mode1.c:mode1_function(),TC-SYS-002,evidence/SYS-01_Mode1Showcase.mov,Done,
RQ-72,Functional,Mode 2 Functionality Complete,Mode 2 Overview,mode2.c:mode2_function(),TC-SYS-003,evidence/SYS-02_Mode2Showcase.mov,Done,
RQ-73,Functional,Mode 3 Functionality Complete,Mode 3 Overview,mode3.c:mode3_function(),TC-SYS-004,evidence/SYS-03_Mode3Showcase.mov,Done,
RQ-74,Functional,All Modes Complete,System Overview,main.c:main(),TC-SYS-005,,Done,
CN-14,Functional,Exceeding buffer size,Edge Case,"RingBuffer.c:UART0_Handler(), UART5_Handler(), UART7_Handler()",TC-INT-062,evidence/ROB-02_Mode3LargeMsg.mov,Done,
CN-15,Functional,MainMenu/Mode1: Invalid menu input,Edge Case,"mode_manager.c:mode_manager(), mode1_menu()",TC-INT-063,evidence/Mode1_InvalidInput_ExitMenu.mov,Done,
CN-16,Functional,Mode1: Invalid number input,Edge Case,mode_manager.c:mode1_menu(),TC-INT-064,evidence/SYS-23_Mode1InvalidMenu.mov,Done,
CN-17,Functional,Mode1: Invalid color input,Edge Case,mode_manager.c:mode1_menu(),TC-INT-065,evidence/ROB-01_Mode1InvalidColor.mov,Done,
